Population,maternal_plant,Family_ID,seeds,label,Date_planted,Germination_date,Time_to_germination,Is.germinated,Row,Column ,Date_flower_start,Days_to_first_flower,Bnr_wdth1.1,Bnr_length1.1,Bnr_wdth1.2,Bnr_length1.2,Bnr_wdth1.3,Bnr_length1.3,Bnr_wdth2.1,Bnr_length2.1,Bnr_wdth2.2,Bnr_length2.2,Bnr_wdth2.3,Bnr_length2.3,Inflor_height1,Inflor_height2,Inflor_height3,Number of flowers_inflorescences 1,Number of flowers_inflorescences 2,Number of inflorescences ,width_leaf1,length_leaf1,heigth_leaf1,width_leaf2,length_leaf2,heigth_leaf2,width_leaf3,length_leaf3,heigth_leaf3,Width_stolon1,Width_stolon2,weigth_flowers+bag,weigth_plant+bag,HCN_Results,Comments_HCN
17,5,5,5,17-5-5,2017-04-26,2017-04-30,4,1,5,16,2017-06-20,51,3.51,5.6,3.25,5.23,3.31,4.71,4.23,7.31,4.42,7.14,4.1,7.24,74.04,79.26,103.88,65,70,32,8.5,14.13,370,9.5,11.38,510,9.96,12.57,430,1.64,1.26,6.285,7.856,0,
6,1,7,3,6-7-3,2017-04-26,2017-05-04,8,1,5,17,2017-06-19,46,2.71,6.47,3.05,6.23,3.02,6.08,3.26,6.61,3.59,6.47,3.78,6.77,67.32,76.76,88.84,38,34,40,11.03,14.03,440,8.99,9.94,410,11,14.13,360,1.14,1.62,4.592,7.586,0,
8,5,1,2,8-1-2,2017-04-26,2017-04-30,4,1,5,18,2017-07-09,70,3.72,8.63,4.39,7.06,3.97,7.28,3.82,5.98,3.92,6.24,4.88,5.92,84.4,100.66,130.13,54,54,34,10.4,14.6,410,9.4,12.5,430,8.96,10.03,600,1.36,1.32,5.446,8.456,0,
25,3,2,5,25-2-5,2017-04-27,2017-04-30,3,1,5,19,2017-06-23,54,3.59,7.07,3.55,6.92,3.37,6.72,3.58,6.98,3.64,6.54,3.33,6.77,108.16,151.17,133.19,38,40,26,11.39,12.58,730,12.33,11.72,570,10.17,10.8,520,1.33,1.43,4.633,8.036,0,
3,14,4,5,3-4-5,2017-04-25,2017-04-27,2,1,5,20,2017-07-13,77,3.61,7.07,3.73,7.32,3.7,7.77,3.53,6.48,3.03,6.86,3.47,7.76,94.71,102,122.78,32,53,9,7.89,9.58,370,7.57,9.2,300,9.37,12.38,280,1.3,1.13,3.849,10.067,0,
17,13,8,3,17-8-3,2017-04-26,2017-04-30,4,1,5,21,2017-06-26,57,3.45,6.27,3.55,5.83,3.41,5.68,3.22,6.02,3.6,5.88,3.3,6.28,126.31,111.7,104.86,46,50,37,10.32,12.1,460,8.59,11.94,510,9.36,10.8,550,1.48,1.33,5.798,11.963,0,
27,14,4,1,27-4-1,2017-04-27,2017-04-30,3,1,5,22,2017-06-18,49,3.41,6.44,3.42,5.2,3.53,6.68,4.15,6.51,3.78,7.03,3.6,6.66,93.12,89.95,132.31,46,38,20,13.39,17.79,500,11.19,15.92,560,17.86,13.44,570,2.02,2.09,4.508,9.147,1,
17,13,8,1,17-8-1,2017-04-26,2017-04-29,3,1,5,23,2017-07-07,69,3.35,6.46,3.36,6.82,3.71,6.43,3.04,6.24,3.61,5.65,3.58,6.02,92.37,116.39,,64,58,13,13.41,16.51,750,10.81,14.92,620,11.08,15.04,450,1.56,1.42,3.957,8.337,0,
24,7,7,5,24-7-5,2017-04-27,2017-05-05,8,1,5,24,,#NUM!,,,,,,,,,,,,,,,,,,0,10.14,11.24,220,5.78,9.55,250,8.45,9.38,300,1.38,1.52,,6.323,0,
15,5,3,3,15-3-3,2017-04-26,2017-04-30,4,1,5,25,2017-07-05,66,4.15,7.16,3.94,7.06,3.88,7.7,3.79,8.17,4.03,7.34,4.23,7.86,138.25,150.35,135.01,42,64,5,10.04,12.77,320,10.86,11.68,400,12.02,13.47,410,1.13,1.43,4.093,12.345,0,
10,2,7,4,10-7-4,2017-04-26,2017-04-30,4,1,5,26,,#NUM!,,,,,,,,,,,,,,,,,,0,14.57,14.97,590,9.86,8.35,610,12.66,12.2,620,1.48,1.44,,14.686,0,
