Population,Family_ID,Seed,label,Time_to_germination,Row,Column,Days_to_flower,Num_Inf,HCN_Results,Reprod_biomass,Veget_biomass,Avg_bnr_wdth,Avg_bnr_lgth,Avg_petiole_lgth,Avg_peducle_lgth,Avg_num_flwrs,Avg_leaf_wdth,Avg_leaf_lgth,Avg_stolon_thick,Avg_seeds_per_flower,Latitude,Longitude,Distance_to_core,Distance_to_cg
2,7,4,2-7-4,3,15,21,52,33,0,2.4988000000000006,5.7134,3.2816666666666667,5.866666666666666,426.6666666666667,73.38,37.5,10.543333333333333,13.463333333333333,1.27,1.686366479049406,43.663683,-79.411443,2.643358115446909,23.877854402711133
9,5,3,9-5-3,4,15,22,72,10,0,1.0388000000000006,5.792400000000001,4.38,7.765,530,110.3,48.5,9.100000000000001,11.216666666666667,1.345,NA,43.693306,-79.538379,13.369577165605406,18.865829319561513
7,2,3,7-2-3,8,15,23,NA,0,0,0,5.5594,NA,NA,643.3333333333334,NA,0,14.946666666666667,14.34,1.565,NA,43.70646,-79.486262,10.19629667047448,22.500341511520208
20,3,1,20-3-1,4,15,24,55,38,0,3.5438000000000005,4.0024,3.8899999999999997,6.236666666666666,443.3333333333333,94.75333333333333,53.5,8.326666666666666,10.256666666666666,1.15,2.790909090909091,43.518649,-79.75084,33.52969169255897,7.898377046421379
11,5,3,11-5-3,6,15,25,61,41,0,2.7438000000000007,3.9093999999999998,3.5683333333333334,6.325,440,91.44666666666667,54,12.676666666666668,14.436666666666666,1.1949999999999998,2.9820391872278664,43.663863,-79.585551,16.533738844636368,14.156643177241694
26,2,3,26-2-3,3,15,26,56,36,1,3.6548000000000003,3.2394,3.8116666666666665,6.508333333333333,483.3333333333333,136.49333333333334,65.5,14.6,17.52,1.565,2.3913817663817665,43.414687,-79.832589,45.27544397596537,20.31390823719724
22,6,2,22-6-2,3,15,27,64,10,1,0.9368000000000003,5.666399999999999,3.9433333333333334,6.818333333333333,540,118.43,46.5,15.43,17.446666666666665,1.45,NA,43.479071,-79.761802,36.4997112536466,11.191478550978925
6,1,3,6-1-3,6,15,28,63,17,0,1.1008,3.564400000000001,3.4899999999999998,6.048333333333334,366.6666666666667,100.22666666666666,48,9.536666666666667,11.173333333333334,1.05,3.699471210340776,43.713711000000004,-79.466545,9.440961875831535,24.136939503015775
9,2,4,9-2-4,4,15,29,72,7,0,0.3328000000000002,4.468400000000001,3.3633333333333333,5.5600000000000005,513.3333333333334,71.72,46,12.563333333333333,14.366666666666667,1.345,NA,43.693306,-79.538379,13.369577165605406,18.865829319561513
6,3,5,6-3-5,6,15,30,63,28,0,1.8168000000000002,3.8103999999999996,3.2283333333333335,5.95,523.3333333333334,107.74,55,12.186666666666666,13.166666666666666,1.03,NA,43.713711000000004,-79.466545,9.440961875831535,24.136939503015775
14,2,1,14-2-1,5,15,31,50,30,0,1.6698,4.048400000000001,3.465,5.78,556.6666666666666,117.02666666666666,46.5,11.08,11.57,1.3199999999999998,NA,43.627471,-79.65002,21.936116076110327,8.739887353969236
25,7,1,25-7-1,3,15,32,73,16,0,0.4568000000000003,3.0054,3.875,6.026666666666666,513.3333333333334,108.73666666666666,47.5,13.353333333333333,15.24,1.49,NA,43.432349,-79.829473,43.92776371111732,18.729344671748326
18,5,1,18-5-1,5,16,1,50,47,0,2.6308000000000002,3.2994000000000003,3.37,5.383333333333334,296.6666666666667,103.26666666666667,61,8.526666666666667,14.416666666666666,1.125,2.6467532467532466,43.565262,-79.700181,27.663536159879555,3.5108454345102134
18,1,1,18-1-1,4,16,2,64,25,0,1.8308000000000004,1.8704,3.505,6.515,443.3333333333333,118.65666666666667,59,9.836666666666666,10.66,1.22,2.0818181818181816,43.565262,-79.700181,27.663536159879555,3.5108454345102134
5,1,3,5-1-3,6,16,3,65,46,0,1.5098000000000007,6.5014,3.501666666666667,5.931666666666667,310,120.88666666666667,50,13.253333333333334,13.743333333333334,1.51,3.326330532212885,43.722385,-79.426597,8.257243194042573,27.02718186329092
18,1,4,18-1-4,8,16,4,46,44,0,4.4388000000000005,2.9494000000000007,3.705,6.711666666666667,620,117.81,50,12.036666666666667,13.733333333333334,1.255,2.811352657004831,43.565262,-79.700181,27.663536159879555,3.5108454345102134
17,4,4,17-4-4,4,16,5,64,31,0,2.5378000000000003,4.7684,3.725,6.153333333333333,593.3333333333334,116.53333333333333,50,10.816666666666666,11.813333333333333,1.335,2.9044117647058822,43.58858,-79.69878,26.712604213541383,5.246219840707324
9,4,4,9-4-4,8,16,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.693306,-79.538379,13.369577165605406,18.865829319561513
8,2,2,8-2-2,6,16,7,66,25,0,2.1008,2.9924,3.9683333333333333,8.258333333333333,496.6666666666667,122.87666666666667,NA,11.01,12.213333333333333,1.2200000000000002,2.97375,43.701041,-79.511142,11.648537370864588,20.803590289148442
14,4,2,14-4-2,4,16,8,66,14,0,0.8908000000000005,2.0894000000000004,3.8016666666666667,6.261666666666667,373.3333333333333,123.83333333333333,56.5,10.726666666666667,12.76,1.21,2.072518214936248,43.627471,-79.65002,21.936116076110327,8.739887353969236
2,3,4,2-3-4,4,16,9,64,32,0,4.2568,5.2904,3.888333333333333,6.761666666666667,446.6666666666667,106.95333333333333,62,11.99,16.46666666666667,1.43,2.3692201518288476,43.663683,-79.411443,2.643358115446909,23.877854402711133
8,3,5,8-3-5,4,16,10,61,31,0,3.5438000000000005,2.0814000000000004,4.233333333333333,8.011666666666667,526.6666666666666,127.52333333333333,72.5,11.639999999999999,13.166666666666668,1.825,2.9976190476190476,43.701041,-79.511142,11.648537370864588,20.803590289148442
17,1,2,17-1-2,3,16,11,63,45,0,3.3658000000000006,5.759399999999999,3.848333333333333,6.343333333333334,360,113.58333333333333,53.5,8.886666666666667,11.226666666666667,1.18,3.497672753311851,43.58858,-79.69878,26.712604213541383,5.246219840707324
14,1,1,14-1-1,4,16,12,63,27,0,1.7188000000000003,2.5594,3.7383333333333333,7.053333333333334,346.6666666666667,102.06333333333333,54.5,9.76,11.959999999999999,1.3050000000000002,3.22577519379845,43.627471,-79.65002,21.936116076110327,8.739887353969236
2,5,2,2-5-2,3,16,13,52,20,0,3.1638000000000006,4.7814,3.7750000000000004,6.238333333333333,323.3333333333333,90.85333333333334,73.5,10.673333333333332,15.200000000000001,2.005,2.0922297297297296,43.663683,-79.411443,2.643358115446909,23.877854402711133
6,2,3,6-2-3,6,16,14,49,34,0,2.5408000000000004,3.7593999999999994,3.655,6.135,366.6666666666667,112.97666666666666,48.5,9.12,10.6,1.135,1.9714285714285713,43.713711000000004,-79.466545,9.440961875831535,24.136939503015775
18,1,3,18-1-3,8,16,15,52,33,0,3.3678000000000003,2.3194,3.76,7.416666666666666,443.3333333333333,139.54333333333332,64,12.19,13.2,1.3,3.2270066889632107,43.565262,-79.700181,27.663536159879555,3.5108454345102134
10,1,1,10-1-1,8,16,16,70,20,0,1.7408000000000006,4.6594,3.2666666666666666,5.505,446.6666666666667,65.93,NA,12.526666666666667,13.933333333333334,1.2349999999999999,2.7048887122416536,43.686228,-79.561726,14.971521867180057,17.24331936210088
23,7,2,23-7-2,3,16,17,67,28,1,2.0748,4.478400000000001,3.54,6.0183333333333335,386.6666666666667,106.54,38.5,11.356666666666667,12.533333333333333,1.2000000000000002,3.273732718894009,43.453719,-79.757534,37.82230438666279,13.111632056401957
8,6,3,8-6-3,6,16,18,66,26,0,2.0438000000000005,4.3264,3.34,6.278333333333333,453.3333333333333,75.87333333333333,59.5,12.25,13.333333333333334,1.26,2.7528462998102468,43.701041,-79.511142,11.648537370864588,20.803590289148442
15,7,1,15-7-1,4,16,19,64,48,0,3.8448000000000007,2.4284,3.385,6.545,276.6666666666667,140.65666666666667,77,7.8966666666666665,9.026666666666667,1.365,2.2792019027484143,43.616903,-79.669317,23.663587997705708,7.526631296860096
